WKT,Site_ID,Location,Lat,Long
POINT (-6.276215108 53.32865946),258,Harolds Cross Rd @ Le Vere Tce,53.32865946,-6.276215108
POINT (-6.2789512 53.3230781),259,Harolds Cross Rd @ Park View Av,53.3230781,-6.2789512
POINT (-6.269057 53.3361267),260,Heytesbury St @ Hospital,53.3361267,-6.269057
POINT (-6.205228169 53.37103407),261,Howth Rd @ Dunseverick Rd,53.37103407,-6.205228169
POINT (-6.164584671 53.38002993),262,Howth Rd  @ St Assam's Rd East,53.38002993,-6.164584671
POINT (-6.159996 53.3908229),263,Kilbarrack Rd @ Swansnest Av,53.3908229,-6.159996
POINT (-6.21497333 53.38697262),264,Kilmore Rd @ Ardlea Rd,53.38697262,-6.21497333
POINT (-6.2862271 53.3203515),265,Mount Argus @ the Church,53.3203515,-6.2862271
POINT (-6.3541534 53.3376054),266,Le Fanu Rd @ Kylemore Ave,53.3376054,-6.3541534
POINT (-6.255190223 53.33435801),268,Leeson St @ Pembroke St,53.33435801,-6.255190223
POINT (-6.252296383 53.34182053),269,Lincoln Pl @ Clare St,53.34182053,-6.252296383
POINT (-6.221667197 53.37302291),271,Malahide Rd @ Donnycarney Rd,53.37302291,-6.221667197
POINT (-6.26085065 53.34435519),272,College Green / Church Lane,53.34435519,-6.26085065
POINT (-6.283433673 53.34054914),274,Marrowbone Lane @ Summer St,53.34054914,-6.283433673
POINT (-6.208186305 53.31725245),275,Merrion Rd @ Herbert Av,53.31725245,-6.208186305
POINT (-6.247890359 53.31151758),276,Milltown Rd @ School,53.31151758,-6.247890359
POINT (-6.3136 53.366691),279,Navan Rd @ Church,53.366691,-6.3136
POINT (-6.273147588 53.33631886),280,New St @ Long Lane & peds at Daniel St.,53.33631886,-6.273147588
POINT (-6.2417088 53.3582654),281,North Strand Rd @ Ivy Church,53.3582654,-6.2417088
POINT (-6.244127303 53.35662048),282,North Strand Rd @ Newcomen Bridge,53.35662048,-6.244127303
POINT (-6.263277 53.346613),285,Halfpenny Bridge & Millennium Footbridge @ Ormond Quay,53.346613,-6.263277
POINT (-6.252177025 53.34470865),288,Pearse St @ Shaw St,53.34470865,-6.252177025
POINT (-6.2730969 53.3587369),290,Phibsboro Rd @ Monck Pl,53.3587369,-6.2730969
POINT (-6.2387662 53.3690538),291,Philipsburgh Av @ Shops,53.3690538,-6.2387662
POINT (-6.1695301 53.3899957),292,Raheny Rd @ Swansnest Rd,53.3899957,-6.1695301
POINT (-6.265385 53.324053),295,Rathmines Rd @ Leinster Rd,53.324053,-6.265385
POINT (-6.264359504 53.33070632),297,Richmond St South @ Lennox St,53.33070632,-6.264359504
POINT (-6.2649413 53.3753914),298,Mobhi Rd @ Scoil Caitriona,53.3753914,-6.2649413
POINT (-6.25539212 53.33859582),301,St Stephens Green @ North East Corner,53.33859582,-6.25539212
POINT (-6.247637 53.322155),302,Sandford Rd @ Marlborough Rd,53.322155,-6.247637
POINT (-6.2159597 53.3327329),303,Sandymount Rd @ Shops,53.3327329,-6.2159597
POINT (-6.2993581 53.3376151),304,SCR @ Rialto Bridge,53.3376151,-6.2993581
POINT (-6.264531 53.3430292),305,Georges St @ Exchequer St,53.3430292,-6.264531
POINT (-6.2928048 53.3208108),308,Sundrive Rd @ Blarney Pk,53.3208108,-6.2928048
POINT (-6.2958135 53.3245412),309,Sundrive Rd @ Convent,53.3245412,-6.2958135
POINT (-6.297239 53.30182),311,Templeogue Rd @ Fortfield Rd,53.30182,-6.297239
POINT (-6.28258 53.3146154),312,Terenure Rd Nth @ Ashdale Rd,53.3146154,-6.28258
POINT (-6.1953892 53.3889253),314,Tonlegee Rd @ Shops,53.3889253,-6.1953892
POINT (-6.3367814 53.3196639),316,Walkinstown Av @ Walkinstown Green,53.3196639,-6.3367814
POINT (-6.3485289 53.3413672),319,Ballyfermot South Of Roundabout,53.3413672,-6.3485289
POINT (-6.3488605 53.3429086),320,Ballyfermot North Of Roundabout,53.3429086,-6.3488605
POINT (-6.345645189 53.33102001),322,Kylemore Rd @ Bluebell Av,53.33102001,-6.345645189
POINT (-6.2007823 53.3868829),323,Malahide Rd @ St Brendans Av,53.3868829,-6.2007823
POINT (-6.270032359 53.34055933),324,Bride St @ Golden Lane,53.34055933,-6.270032359
POINT (-6.3092911 53.3276605),325,Crumlin Rd @ Ivy Gardens,53.3276605,-6.3092911
POINT (-6.305983 53.3282814),326,Crumlin Rd @ Ivy Grounds,53.3282814,-6.305983
POINT (-6.287545 53.377704),327,Finglas Rd @ Old Finglas Rd,53.377704,-6.287545
POINT (-6.2592361 53.3437821),328,Grafton St @ Suffolk St,53.3437821,-6.2592361
POINT (-6.238690129 53.31665264),329,Clonskeagh Rd @ Hospital,53.31665264,-6.238690129
POINT (-6.2581681 53.3282968),330,Ranelagh Rd @ Northbrook Rd,53.3282968,-6.2581681
POINT (-6.213154 53.378414),331,Malahide Rd @ Killester Av (St Davids),53.378414,-6.213154
POINT (-6.247005468 53.37899979),332,Swords Rd @ Plunkett School,53.37899979,-6.247005468
POINT (-6.3125348 53.335896),333,Davitt Rd / Benbulbin Rd / Footbridge (LUAS),53.335896,-6.3125348
POINT (-6.2467798 53.3617786),334,Clonliffe Rd @ Clonliffe Gardens,53.3617786,-6.2467798
POINT (-6.2764399 53.3794512),335,Griffith Av Ext @ Ballygall Rd East,53.3794512,-6.2764399
POINT (-6.274761692 53.34800232),336,Church St @ May Lane ,53.34800232,-6.274761692
POINT (-6.2618119 53.331619),337,Charlemont St @ Flats,53.331619,-6.2618119
POINT (-6.291203 53.382041),340,Finglas Rd / Premier Square,53.382041,-6.291203
